policy,ind,load,states_normal,states_defrag,core,mode,slots,classes,blocking_probability,resource_utilization,mean_retuning_time,P_defrag_occupied,time_sec
rf,0,0.1,4096,0,2,1,4,[1],2.244191574654491e-13,0.006249999999998598,0.1,0.0,2.158327341079712
rf,1,0.2,4096,0,2,1,4,[1],5.198288934499894e-11,0.012499999999350215,0.1,0.0,2.076390504837036
